,Date,Symbols,value,error_value,error_ind
9377,2019-03-14,VZ,57.95000076293945,57.95000076293945,0
9378,2019-03-15,VZ,58.38999938964844,58.38999938964844,0
9379,2019-03-18,VZ,58.06999969482422,58.06999969482422,0
9380,2019-03-19,VZ,57.5,57.5,0
9381,2019-03-20,VZ,57.66999816894531,57.66999816894531,0
9382,2019-03-21,VZ,58.290000915527344,58.290000915527344,0
9383,2019-03-22,VZ,59.7599983215332,59.7599983215332,0
9384,2019-03-25,VZ,60.08000183105469,60.08000183105469,0
9385,2019-03-26,VZ,60.630001068115234,60.630001068115234,0
9386,2019-03-27,VZ,60.880001068115234,60.880001068115234,0
9387,2019-03-28,VZ,59.08000183105469,59.08000183105469,0
9388,2019-03-29,VZ,59.130001068115234,59.130001068115234,0
9389,2019-04-01,VZ,59.09000015258789,59.09000015258789,0
9390,2019-04-02,VZ,58.529998779296875,58.529998779296875,0
9391,2019-04-03,VZ,58.869998931884766,58.9024495964692,1
9392,2019-04-04,VZ,58.9900016784668,58.9900016784668,0
9393,2019-04-05,VZ,59.09000015258789,59.09000015258789,0
9394,2019-04-08,VZ,59.130001068115234,59.130001068115234,0
9395,2019-04-09,VZ,58.400001525878906,58.400001525878906,0
9396,2019-04-10,VZ,58.61000061035156,58.61000061035156,0
9397,2019-04-11,VZ,58.560001373291016,58.560001373291016,0
9398,2019-04-12,VZ,58.7400016784668,58.7400016784668,0
9399,2019-04-15,VZ,58.709999084472656,58.709999084472656,0
9400,2019-04-16,VZ,58.790000915527344,58.790000915527344,0
9401,2019-04-17,VZ,57.779998779296875,57.779998779296875,0
9402,2019-04-18,VZ,58.040000915527344,58.040000915527344,0
9403,2019-04-22,VZ,58.369998931884766,58.369998931884766,0
9404,2019-04-23,VZ,57.150001525878906,57.150001525878906,0
9405,2019-04-24,VZ,57.08000183105469,57.08000183105469,0
9406,2019-04-25,VZ,55.849998474121094,55.849998474121094,0
9407,2019-04-26,VZ,56.58000183105469,56.58000183105469,0
9408,2014-08-25,XOM,98.75,93.11558769837478,1
9409,2014-08-26,XOM,99.63999938964844,99.63999938964844,0
9410,2014-08-27,XOM,99.52999877929688,99.52999877929688,0
9411,2014-08-28,XOM,99.56999969482422,99.56999969482422,0
9412,2014-08-29,XOM,99.45999908447266,99.45999908447266,0
9413,2014-09-02,XOM,98.48999786376953,98.48999786376953,0
9414,2014-09-03,XOM,99.11000061035156,99.11000061035156,0
9415,2014-09-04,XOM,98.36000061035156,98.36000061035156,0
9416,2014-09-05,XOM,99.26000213623047,99.26000213623047,0
9417,2014-09-08,XOM,97.7699966430664,97.7699966430664,0
9418,2014-09-09,XOM,97.38999938964844,97.38999938964844,0
9419,2014-09-10,XOM,96.80999755859375,96.80999755859375,0
9420,2014-09-11,XOM,97.02999877929688,97.02999877929688,0
9421,2014-09-12,XOM,95.77999877929688,95.77999877929688,0
9422,2014-09-15,XOM,96.29000091552734,96.29000091552734,0
9423,2014-09-16,XOM,97.43000030517578,97.43000030517578,0
9424,2014-09-17,XOM,97.08000183105469,97.08000183105469,0
9425,2014-09-18,XOM,96.61000061035156,96.61000061035156,0
9426,2014-09-19,XOM,97.12000274658203,97.12000274658203,0
9427,2014-09-22,XOM,96.54000091552734,96.54000091552734,0
9428,2014-09-23,XOM,96.02999877929688,96.02999877929688,0
9429,2014-09-24,XOM,95.81999969482422,95.81999969482422,0
9430,2014-09-25,XOM,94.25,94.25,0
9431,2014-09-26,XOM,95.43000030517578,95.43000030517578,0
9432,2014-09-29,XOM,94.43000030517578,94.43000030517578,0
9433,2014-09-30,XOM,94.05000305175781,94.05000305175781,0
9434,2014-10-01,XOM,92.86000061035156,92.86000061035156,0
9435,2014-10-02,XOM,93.30000305175781,93.30000305175781,0
9436,2014-10-03,XOM,93.91999816894531,93.91999816894531,0
9437,2014-10-06,XOM,94.5199966430664,94.5199966430664,0
9438,2014-10-07,XOM,93.37000274658203,93.37000274658203,0
9439,2014-10-08,XOM,94.61000061035156,94.61000061035156,0
9440,2014-10-09,XOM,91.81999969482422,91.81999969482422,0
9441,2014-10-10,XOM,91.5999984741211,91.5999984741211,0
9442,2014-10-13,XOM,90.83999633789062,90.83999633789062,0
9443,2014-10-14,XOM,90.55000305175781,90.55000305175781,0
9444,2014-10-15,XOM,90.22000122070312,90.22000122070312,0
9445,2014-10-16,XOM,90.5999984741211,90.5999984741211,0
9446,2014-10-17,XOM,91.20999908447266,91.20999908447266,0
9447,2014-10-20,XOM,91.7699966430664,91.7699966430664,0
